palm_x,palm_y,palm_z,palm_normal_x,palm_normal_y,palm_normal_z,grab_strength,pinch_strength,finger_0_x,finger_0_y,finger_0_z,finger_1_x,finger_1_y,finger_1_z,finger_2_x,finger_2_y,finger_2_z,finger_3_x,finger_3_y,finger_3_z,finger_4_x,finger_4_y,finger_4_z,timestamp,hand_type,class_name
-86.07572174072266,-84.08642578125,-272.340763092041,-0.22240671515464783,-0.9742615818977356,0.03673684224486351,0.0,0.0,-0.2323515186224664,-0.29882117467530017,-0.7433981502508142,-0.3223911137094763,-0.21870464727877276,-0.9094926555484142,-0.23673739647051276,-0.21425931680087756,-0.947654130089868,-0.19903409341407693,-0.24174026531642642,-0.9200664742522671,-0.14568406812226548,-0.2616644830782812,-0.8592978169903148,1758865891.8438673,1,B
-80.84591293334961,-73.79165649414062,-276.6544165611267,-0.24769175052642822,-0.9678650498390198,0.04342886805534363,0.0,0.0,-0.23668886866916636,-0.2900250384413783,-0.7408168972048215,-0.30815525813004374,-0.1858365976231616,-0.919272053192321,-0.21721262172403327,-0.19034770401075957,-0.957385203845142,-0.17006273739863648,-0.20853046124931546,-0.9287030518255515,-0.1017857726600308,-0.23936066466356504,-0.8649538659798574,1758865892.8477874,1,B
-87.44488143920898,-68.14816284179688,-278.3591456413269,-0.20986710488796234,-0.9775124192237854,0.020621366798877716,0.0,0.0,-0.24098579650949,-0.2688342727453655,-0.7464750036315797,-0.31224643723890744,-0.17211914143876486,-0.9187190344486718,-0.24252202080839166,-0.18108329112875968,-0.953095961116713,-0.20243643590450325,-0.19724425593035383,-0.9275134103516012,-0.1515310917834749,-0.21703760647839568,-0.8700412536400576,1758865893.8541248,1,B
-88.7835464477539,-79.01364135742188,-274.10142374038696,-0.27109867334365845,-0.9618331789970398,-0.03718191012740135,0.0,0.09544482082128525,-0.24928507397701752,-0.2766966439630996,-0.7599429998466687,-0.28711207251303694,-0.2084047215257252,-0.9174712811175368,-0.24316281996172018,-0.2223985469036116,-0.9441455021994365,-0.21216149819056634,-0.2479094298391192,-0.9222189214622489,-0.1783791631249704,-0.2523363174159665,-0.8758685512631199,1758865894.855649,1,B
-96.51072692871094,-70.6529541015625,-272.78070735931396,-0.2406352162361145,-0.9678218364715576,-0.07359043508768082,0.0,0.3352588415145874,-0.2622980947291558,-0.23497767681739185,-0.7747619625985598,-0.3151978046383098,-0.1841858601421286,-0.913707708052335,-0.2732632030306778,-0.19084329631535574,-0.9428181468983845,-0.2403481571016139,-0.21921135389343815,-0.9208412320226133,-0.20231801020354911,-0.22988671024732285,-0.8736024402075616,1758865895.8569896,1,B
-104.88440291583538,-91.33078002929688,-258.94667387008667,-0.30871084332466125,-0.947986900806427,-0.07757889479398727,0.0,0.1609663963317871,-0.3043861849546398,-0.29089668832183935,-0.7479462205735071,-0.33757280046691945,-0.23306632948875589,-0.8933801060857752,-0.29163857863924664,-0.2308300856497076,-0.9282588060493845,-0.25284291493401045,-0.2750876426148197,-0.905032208848298,-0.22419651874125698,-0.29338650834822444,-0.8558639449651841,1758865896.8593862,1,B
-105.26201820373535,-125.06707763671875,-241.41606903076172,-0.29629525542259216,-0.9544426202774048,-0.035332806408405304,0.0,0.0,-0.30634076837544316,-0.4425560165576054,-0.681552671993153,-0.3372100573230258,-0.3240790750117329,-0.8638513987548443,-0.2947596040626454,-0.32488508783932735,-0.8986470138560887,-0.25257684135419367,-0.37012886122171873,-0.8739690091086951,-0.22520522698833612,-0.39110387770317867,-0.8224778613001124,1758865897.8622682,1,B
-97.96700763702393,-106.57156372070312,-253.63628602027893,-0.21136732399463654,-0.973773181438446,-0.08419983834028244,0.0,0.3708287179470062,-0.2714346539242166,-0.3146982019580868,-0.7500159697012111,-0.3283469164465766,-0.2815100586324493,-0.8862902146448015,-0.27651706582682073,-0.28091971619120487,-0.9190334190667816,-0.2355747715784227,-0.31465741555203147,-0.8945900239518226,-0.1980465722759441,-0.3370144024584344,-0.8346233821917479,1758865898.8765345,1,B
-94.19526481628418,-82.4818115234375,-265.24379110336304,-0.18671663105487823,-0.9796756505966187,-0.07329762727022171,0.0,0.3532002866268158,-0.2566872929429823,-0.2527293135212969,-0.7687803564578218,-0.3247766782268037,-0.21786895191120179,-0.903667985152201,-0.27151773131548923,-0.2267713478882321,-0.9353357030276584,-0.22879324628669404,-0.2479990984220089,-0.9116625395148069,-0.18469194659739155,-0.2658771147656307,-0.8559208451183081,1758865899.887873,1,B
-99.84312438964844,-72.58642578125,-264.9813976287842,-0.1646822988986969,-0.9790735840797424,-0.11956026405096054,0.0,0.49904656410217285,-0.262882360716008,-0.23352787661983682,-0.7774855116181564,-0.3315752837392416,-0.19525569792403294,-0.9068371244325687,-0.2884207975467566,-0.19506303472487863,-0.9374240534712205,-0.2508682860145659,-0.22907264175500464,-0.9147543015611078,-0.21230147285359965,-0.2385067164069276,-0.8647186729077407,1758865900.8930547,1,B
-109.49855041503906,-67.68832397460938,-261.84422492980957,-0.15854083001613617,-0.9777200818061829,-0.1375797837972641,0.0,0.5673127174377441,-0.28957663898736064,-0.21545395664539096,-0.7783703919318707,-0.36004972898965554,-0.1883071960540401,-0.8982839898152519,-0.3206744018508958,-0.1878187807799891,-0.9283814052338017,-0.28306323563078145,-0.216654586253919,-0.9085604852131808,-0.24662134997317597,-0.22594928188118701,-0.8624409057007197,1758865901.9037652,1,B
-124.97270011901855,-101.39178466796875,-242.13016319274902,-0.14387555420398712,-0.9862364530563354,-0.08147106319665909,0.0,0.34511226415634155,-0.3502423244005596,-0.32343861113786326,-0.7201027876688526,-0.4256909088375034,-0.27125032346222555,-0.8528813671802724,-0.3684532967604188,-0.2685046560871301,-0.890026638795666,-0.3321545996723498,-0.295359836703014,-0.8717973659664723,-0.29385009161296777,-0.3164110248379514,-0.8223555699678831,1758865902.9145977,1,B
-131.17481231689453,-90.43142700195312,-244.1338653564453,-0.06535599380731583,-0.9973347783088684,-0.03243367373943329,0.0,0.3272062838077545,-0.36130340993718074,-0.28650651838440133,-0.7205284610182757,-0.41626990528536795,-0.2610202325427127,-0.8655354221420829,-0.3676679316575435,-0.2663356545737721,-0.8910025876132034,-0.33285930728510865,-0.2865729990726358,-0.8647514459619317,-0.2897841556696885,-0.2856330064068098,-0.8137423549855725,1758865903.9163425,1,B
